id,label,description,source,target,trend,reliability,references,reviewers,comments,organisation,mandate
3.1-1,Fiske på svaga bestånd ,Fiske på svaga bestånd ,3.1,2.5,negative,high,1. https://balticwaters.org/faktabanken/faktablad-8-antalet-yrkesfiskare-minskar/,EE,,,
3.1-2,Vissa fiskeredskap behöver plats för applicering,Vissa fiskeredskap behöver plats för applicering,3.1,11,positive,medium,1. https://www.landsbygdsnatverket.se/vadgorvi/fiskeochvattenbruk/artikelserienvissteduatt/fiskeforkonsumtionochandraandamal.4.3adb9a1e1761a6cef251c4ce.html,EE,,,
3.1-3,Ökat tryck på havsmiljön,Ökat tryck på havsmiljön,3.1,20,positive,high,,EE,,,
3.1-4,Fiske på svaga bestånd,Fiske på svaga bestånd,3.1,2.6,,unknown,,,,,
3.1-5,Fisk till foderproduktion,Fisk till foderproduktion,3.1,,,unknown,,,,,
3.2,Småskaligt fiske,"Småskaligt fiske (mindre båtar, mindre redskap) minskar genom dåliga fångster och olönsamhet",,,negative,high,1. https://balticwaters.org/faktabanken/faktablad-8-antalet-yrkesfiskare-minskar/,EE,,,
3.1,Ekonomiska förhållanden för livsmedelsproduktion förändras,För generell kategori - saknas drivkrafter bakom drivkrafter - behövs en djupare analys,,,,medium,För generell kategori - behövs fler källor som passar olika drivkrafter för olika grenar., ,Behöver fördjupas och specificeras,,
3.1-1,Större fiskeriföretag får högre kvoter,Större fiskeriföretag får högre kvoter,3.1,3.1,positive,high,1. https://balticwaters.org/faq-om-industrifisket-i-ostersjon/,EE,,,
3.1-2,Lönsamheten minskar,Lönsamheten minskar,3.1,3.2,negative,high,1. https://www.naturskyddsforeningen.se/artiklar/darfor-behover-vi-satsa-mer-pa-smaskaligt-fiske/,EE,,,
3.1-3,,,3.1,,,unknown,,,,,
3.2,Behov av  färsk havsmat för humankonsumtion,"Havsmat är eftertraktad och kan skapa bra inkomst. Enligt en analys från 2020 finns en efterfrågan efter miljömässigt hållbar havsmat, men svensk sjömat produceras fn inte på ett långsiktigt hållbart sätt som kan miljömärkas (Sundblad et al. 2020.).",,,positive,unknown,"1. Sundblad, E-L, Hornborg, S., Uusitalo, L. och Svedäng, H. (2020). Svensk konsumtion av sjömat och dess påverkan på haven kring Sverige. Rapport nr 2020:1, Havsmiljöinstitutet.",AM,Ref 1: miljömässigt och långsiktigt ohållbar produktion för närvarande.,,
3.2-1,Incitament för fortsatt fiske,Incitament för fortsatt fiske,,3.1,positive,medium,1. https://www.landsbygdsnatverket.se/vadgorvi/fiskeochvattenbruk/artikelserienvissteduatt/fiskeforkonsumtionochandraandamal.4.3adb9a1e1761a6cef251c4ce.html,EE,,,
3.2-2,Möjlig marknad för utveckling av vattenbruk.,"Möjlig marknad för utveckling av vattenbruk. Om havsbruk kan erbjuda miljömässigt mer hållbara alternativ kan detta vara en möjlighet, för att önskemålet hos konsumenter finns (Sundblad et al. 2020)",,,positive,high,"1. Sundblad, E-L, Hornborg, S., Uusitalo, L. och Svedäng, H. (2020). Svensk konsumtion av sjömat och dess påverkan på haven kring Sverige. Rapport nr 2020:1, Havsmiljöinstitutet.",EE,,,
3.2-3,Fiske för livsmedelsförsörjning,Fiske för livsmedelsförsörjning,,3.2,positive,high,,EE,,,
3.3,Behov av marin biomassa för industriellt bruk, ,,,positive,unknown,fler källor vore bra, ,Vore bra att ta reda på mera,,
3.3-1,Fisk till foderproduktion,Fisk till foderproduktion,3.3,3.1,positive,medium,1. https://www.landsbygdsnatverket.se/vadgorvi/fiskeochvattenbruk/artikelserienvissteduatt/fiskeforkonsumtionochandraandamal.4.3adb9a1e1761a6cef251c4ce.html,EE,,,
4,Vattenbruk,"Vattenbruk, som hittills främst hållit till i skyddade vatten med bra genomströmning (skärgård, fjordar), håller på att testas även i kombination med olika fasta installationer offshore med Norge som pionjärland i Norden. Finns olika typer av odling: fiskodling (inte i Västsverige), musselodling (väletablerad), algodling (testfas) och multitrofiska kombinationsodlingar (testas inte här). Det finns ett antal avsiktsförklaringar för samarbeten, men än så länge ingenting på plats. Mycket beror på om det blir tillstånd för vindkraft.",,,,medium,"Trend: expertpresentationer på olika workshops inom blå ekonomi och samexistens. 1. A new Norwegian bioeconomy based on cultivation and processing of seaweeds, 2014, SINTEF (inkl förutsättningarna för multitrofa odlingar)",AM,"Vi fick använda internetsökningar och nyhetsartiklar när det gäller utvecklingen av offshorevattenbruk i Sverige (finns inte mycket litteratur). Tecken på att allt befinner sig i ett tidigt utvecklingsstadium. Vattenbruk sker så länge främst inomskärs i områden med god genomströmning men som är välskyddade. Men möjligheter till kombinerad vind och fiskodling i poseidonområdet undersöks. Det testas även internationellt om man kan få till odlingar med flera trofiska nivåer, dvs en kombination av alger, skaldjur och fisk för att bäst ta hand om näringsämnen. Internetsökning visar att det finns ett antal innovativa avsiktsförklaringar för samarbeten, men än så länge ingenting på plats.",Norsk,KS - Visa på att vattenbruk och OSW kan ha positiv påverkan på den marina miljön
4.1,"Vattenbruk, algodling","Odling av alger för mat och industriellt bruk finns ännu inte i Sverige. Alger skördas småskaligt i kustzonen i Bohuslän, mest för humankonsumption. I Norge finns det skörd även för industriellt bruk.  En avhandling från 2019 ser möjligheterna.",,,,medium,"Vish, W. 2019. Sustainable Kelp Aquaculture in Sweden. PhD Thesis Gothenburg University. https://gupea.ub.gu.se/bitstream/handle/2077/62099/gupea_2077_62099_3.pdf?sequence=3&isAllowed=y Avsiktförsklaring om kombination vind/tångodling i Halland: https://www.ox2.com/sv/sverige/media/nyheter/ox2-tecknar-avsiktsforklaringar-for-storskalig-odling-av-tang-vid-vindpark-utanfor-hallands-kust/",AM,,,
4.2,"Vattenbruk, skaldjursodling",Skaldjurs(mussel)odling för mat och foder. Skaldjursodlingen är väletablerad på västkusten. Frågan är om den kommer att öka offshore i samband med fasta installationer.,,,,high,Avsiktsförklaring om ett testprojekt offshore med musselodling vid Gotland (Auroraområdet) https://www.ox2.com/sv/sverige/hallbarhet/samarbeten/musselodling-offshore/ (kolla om aktuellt efter regeringsbesluten).,AM,,,
4.3,"Vattenbruk, fiskodling",Fiskodling finns än så länge inte på västkusten i havet (sötvatten). Det finns testprojekt för att kombinera med fasta installationer i samarbete med Norge.,,,,medium,Testprojekt SUBFARM offshore fiskodling på västkusten (samarbete Norge https://subfarm.no/  & vindkraft Freya) https://weareaquaculture.com/news/aquaculture/swedish-norwegian-project-to-enable-offshore-aquaculture-in-floating-wind-farm,AM,,Norsk,"KS - Ge en beskrivning av hur stort ytbehovet är EGENTLIGEN, samt bidra med infrastrukturlösningar"
4-1,Möjlig marknad för utveckling av vattenbruk ,Möjlig marknad för utveckling av vattenbruk ,4.1,3.3,,medium, ,AM,"Svårbedömd, skulle kräva informella kontakter med ekonomiforskare och utvecklare.",,
4.2-1,Lågt trofiskt vattenbruk minskar näringsämnen,Lågt trofiskt vattenbruk minskar näringsämnen,4.2,20,positive,high,"1. Bergström, P.. 2014. Blue Oceans with Blue Mussels - Management and planning of mussel farming in coastal ecosystems. 2. Bergström, P. et al. 2013. Restaurering av övergödda havsvikar med hjälp av miljömusselodling, rapport Hav möter Land projektet 3. Vish, W. 2019. Sustainable Kelp Aquaculture in Sweden. PhD Thesis Gothenburg University. https://gupea.ub.gu.se/bitstream/handle/2077/62099/gupea_2077_62099_3.pdf?sequence=3&isAllowed=y 4. Linus Hasselström, Wouter Visch, Fredrik Gröndahl, Göran M. Nylund, Henrik Pavia. 2018. The impact of seaweed cultivation on ecosystem services - a case study from the west coast of Sweden, Marine Pollution Bulletin, Volume 133, 2018,pp 53-64, https://doi.org/10.1016/j.marpolbul.2018.05.005",AM,"Obs - än så länge bara kustfokus; Genom att odla alger eller musslor kan näringsämnen tas från vattnet. Detta har redan prakticerats på flera håll i Västerhavet och Östersjön. Ett flertal studier finns om musslors positiva påverkan på näringsämnen (förutom direkt under odlingen). Enligt en studie från 2019 är miljöpåverkan av alger är mest positiv för miljön. Negativa miljöeffekter genom fiskodling (hög trofisk nivå) inkluderar ökat näringsutsläpp, parasiter, genetisk utarmning genom rymning.",,
4.3-1,Vattenbruk mestadels nära ytan,Vattenbruk mestadels nära ytan,4.3,11,,medium,Testprojekt SUBFARM offshore fiskodling på västkusten (samarbete Norge https://subfarm.no/  & vindkraft Freya) https://weareaquaculture.com/news/aquaculture/swedish-norwegian-project-to-enable-offshore-aquaculture-in-floating-wind-farm,AM,"Enligt frågor på en online workshop till fiskodling/vindkraftskonsortiet borde det vara möjligt att åka genom med mindre fartyg, dock inte med fiskeredskap. Konkurrens om plats med t.ex. fiske, sjöfart (yrkes och fritids). Visuell påverkan blir mindre relevant offshore än i kustbandet. Det viktiga är att genomfarten förblir möjlig.",,
5,Havsbaserad Energi,Utveckling av havsbaserad energi: ett flertal ansökningar är på gång,,,,medium,Trender: Energimyndigheten Vindbrukskollen https://vbk.lansstyrelsen.se/?appid=d62d1589ccda4b15a4ed2d19d0afdf7b ,AM,Tillägg LLWest 2025-05-12 - Per B (se presentation),Länsstyrelsen Halland; PK (vågkraft),PE - Öka kunskapen och förståelsen för nuvarande tillståndsprocess; Öka och sprida kunskap; samla in och tillgängliggöra data; Aktivt inleda dialog och visa vilja till samverkan Mandat att påverka samverkan vind-våg-sol
5.1,Vindkraft,Utveckling av havsbaserad vindenergi: ett flertal ansökningar är på gång. Vissa har fått tillstånd.,,,,medium,Trender: Energimyndigheten Vindbrukskollen https://vbk.lansstyrelsen.se/?appid=d62d1589ccda4b15a4ed2d19d0afdf7b ,SM, ,,
5.2,Vågkraft,Testprojekt på gång,,,,medium,Referenser?,AM,Tillägg LLWest 2025-05-12 - Per B (se presentation),PK (vågkraft),Mandat att påverka samverkan vind-våg-sol
5.3,Flytande solceller,Testprojekt på gång,,,,medium,Referenser?,AM,Tillägg LLWest 2025-05-12 - Per B (se presentation),PK (vågkraft),Mandat att påverka samverkan vind-våg-sol
5-1,Inkompatibilitet med viss fiskeverksamhet,Inkompatibilitet med viss fiskeverksamhet,,11.1,positive,high,"1. Bergström, L. et al. (2022). Effekter av havsbaserad vindkraft på marint liv: En syntesrapport om kunskapsläget 2021 (7049; p. 112). Naturvårdsverket.",SM,"Vindkraft är för det mesta inkompatibel med fiske, speciellt när det gäller industriella fiskeredskaper som trålar",,
5-2,Konkurrens om plats med t.ex. sjöfart & försvar. Problem med isbrytning.,Konkurrens om plats med t.ex. sjöfart & försvar. Problem med isbrytning.,,11,positive,high,"Deliverable 1.1, kapitel 6.4, underlagsdokument från havsplaneringsprocessen",AM,"Det finns en del rapporter om interaktioner. När det gäller sjöfart och vindkraft är effekterna delvis direkta (undanträngning), delvis indirekta via isbildning och svårigheter för isbrytning eller höjd risk vid storm. Exakt info kan letas fram.",,
5-3,Ökat behov,Ökat behov,,5.6,positive,high,"1. EU policy och övergipande prioriteter för förnybar/fossilfri energi (klimatpolitik) och försörjningssäkerhet av energi (säkerhetspolitik). 2. Havsplaneringsuppdraget 2022 där OSW skulle utökas till 120TW, omarbetad version hos regeringen (januari 2025). Oklart hur de nationella politiska prioriteter spelar ut med den nya regeringen.",AM,,,
5-4,"Påverkan på salthalt, temperatur och strömmar",,,20,,medium,,LST Halland,Tillägg LLWest 2025-05-12 (PE),,
5.4,Risker och skadegörelser med ny teknik& ansvarsfrågan,,,,,unknown,,AM,Tillägg LLWest 2025-05-12 (PB),,
5.1-1,Fundament och ankare/linor,Fundament och ankare/linor,5.1,20.2,positive,high,"1. Bergström, L. et al. (2022). Effekter av havsbaserad vindkraft på marint liv: En syntesrapport om kunskapsläget 2021 (7049; p. 112). Naturvårdsverket.",SM,,,
5.1-2,Ljud från konstruktion/drift/avveckling,Ljud från konstruktion/drift/avveckling,5.1,,positive,high,"1. Baldachini, M. et al. (2024). Modeling the Underwater Sound of Floating Offshore Windfarms in the Central Mediterranean Sea. Journal of Marine Science and Engineering, 12(9), Article 9. https://doi.org/10.3390/jmse12091495",SM,,,
5.1-3,Barriäreffekter,Barriäreffekter,5.1,,positive,high,"1. Galparsoro, I. et al. (2022). Reviewing the ecological impacts of offshore wind farms. Npj Ocean Sustainability, 1(1). https://doi.org/10.1038/s44183-022-00003-5",SM,,,
5.6,Energi- och kommunikations-infrastruktur behöver byggas ut,"Energi- och kommunikations-infrastruktur till havs behvöver byggas ut (kapacitet, redundans, resiliens) för att tillfredställa en säker försörjning med förnybar energi samt kommunikation. Fler och bättre ledningar betyder ökad redundans och försörjningssäkerhet vid kriser.",,,,medium,"1. EU policy och övergipande prioriteter för förnybar/fossilfri energi (klimatpolitik) och försörjningssäkerhet av energi (säkerhetspolitik). 2. Havsplaneringsuppdraget 2022 där OSW skulle utökas till 120TW, omarbetad version hos regeringen (januari 2025). Oklart hur de nationella politiska prioriteter spelar ut med den nya regeringen.",AM,,,
5.6-1,Påverkan av sjökablar och ledningar på fiske och andra aktiviteter,"Sjökablar och pipelines innebär trål- och ankringsförbud (som dock är svåra att genomdriva i EEZ). Miljömässigt störst påverkan uppstår vid konstruktionen (buller, föroreningar, grumling, fysisk störning). Finns misstankar om att fisk påverkas av kablars magnetfält.",5.6,20,,medium,"1. Bastien Taormina, Juan Bald, Andrew Want, Gérard Thouzeau, Morgane Lejart, Nicolas Desroy, Antoine Carlier. 2018. A review of potential impacts of submarine power cables on the marine environment: Knowledge gaps, recommendations and future directions. Renewable and Sustainable Energy Reviews, Volume 96,pp 380-39, https://doi.org/10.1016/j.rser.2018.07.026.",AM,Dela upp pilen?,,
5.1,Behov av fossilfri energiproduktion ökar,Ökande behov av fossilfri energi baserat på klimatpolitik på EU och lägre nivåer,,,positive,high,"1. EU policy och övergipande prioriteter för förnybar/fossilfri energi (klimatpolitik) och försörjningssäkerhet av energi (säkerhetspolitik). 2. Havsplaneringsuppdraget 2022 där OSW skulle utökas till 120TW, omarbetad version hos regeringen (januari 2025). Oklart hur de nationella politiska prioriteter spelar ut med den nya regeringen.",AM,,,
5.1-1,Möjlig marknad för havsbaserad energi,Möjlig marknad för havsbaserad energi,,,,unknown, ,AM,Behövs ekonomiska analyser. Ta fram referenser till studier och evidens från deltagarna,,
6,Försvaret,"Försvarets intressen och behov till havs ökar och får högre prioritet i politiska och tillståndsbeslut. Radioövervakning, skjutfält, övningsfält, marinbaser etc.",,,positive,medium,"Trend: Regeringsbeslut om vindkraft Nov 2024, omarbetning av havsplanerna 2024/25 (hos regeringen för antagande), budgetökningar för försvaret",AM,"Trenden baseras på observation och de senaste månadernas politiska beslut. Tex havsplaneringsprocessen och havsplanerna som ligger hos regeringen, tillstånd till vindkraft, olika utökningar av försvaret.",C2B2 TL,"Få med försvaret i C2B2, förhandlingsberedskap behövs (hinder)"
6-1,Hög prio för försvaret - konkurrens och exklusivitet,Försvarsintressen får hög prioritet i politiska beslut i förhållande till de flesta andra användare. Konkurrens och exklusivitet,6,11,positive,high,"Regeringsbeslut om vindkraft Nov 2024, omarbetning av havsplanerna 2024/25 (hos regeringen för antagande), budgetökningar för försvaret.",AM,Försvaret behöver inte meddela exakt var deras intressen ligger och vilka vindkraftområden är oönskade. Sitter med oavslöjade kort som en förhandlare vid bordet och har i dagens läge starkare säkerhetsargument varför man inte avslöjar information.,,
6.1,Säkerhetssituationen,"Säkerhetssituationen upplevs som allvarlig, antecken för hybridkrig ökar",,,positive,high,Nyhetsmedia om folk & försvarskonferensen,AM,"Tolkning av mediarapportering och senaste politiska  beslut, kan behöva kollas mot opinionsundersökningar (SIFO, mm)",,
6.1-1,Kräver förstärkning av sjötransport och landningskapaciteten för utländska fartyg,Säkerhetssituationen påverkar även sjöfarten (text ska utvecklas).,6.1,7,positive,high, ,MP,Ta fram referenser till studier och evidens från deltagarna,,
